model|context|tok_sec|price_in|price_out|aa_index|arena_elo|swe_bench|gpqa|favourite|description
gemini/gemini-3.1-pro-preview|1000000|91|2.00|12.00|57|1500|80.6|94.3|yes|AA #1, ARC-AGI-2 77.1%, best price-to-quality at the frontier, 1M context, multimodal
openai/gpt-5.3-codex|200000|99|1.75|14.00|54||80.0|85.4|yes|AA #2, Terminal-Bench SOTA 77.3%, fastest frontier at 99 tok/s, Spark variant 1000+ tok/s
openrouter/anthropic/claude-opus-4.6|200000|72|5.00|25.00|53|1503|80.8|91.3|no|Arena #1 (1503), GDPval 1606, best coding and creative writing, 1M context beta
openrouter/anthropic/claude-sonnet-4.6|200000||3.00|15.00|51||79.6|89.9|no|Anthropic mid-range, 70% preferred over Sonnet 4.5, 1M context beta, strong coding
openrouter/z-ai/glm-5|200000|66|1.00|3.20|50|1451|77.8|86.0|yes|#1 open-weight, 745B MoE MIT license, lowest hallucination, trained on Huawei Ascend
openrouter/moonshotai/kimi-k2.5|262000|42|0.60|3.00|47|1447|76.8|87.6|no|1T MoE (32B active), agent swarm (100 sub-agents), vision-to-code, open-weight
openrouter/qwen/qwen3.5-397b-a17b|262000|85|0.60|3.60|45||76.4|88.4|no|397B MoE (17B active), Apache 2.0, native vision, 201 languages, 91.3% AIME26
openrouter/x-ai/grok-4|256000|42|3.00|15.00|42|1495|80.8|83.3|yes|Arena #4, #3 creative writing, 50.7% HLE (highest), unconstrained style
openrouter/minimax/minimax-m2.5|200000|50|0.15|1.20|42|1421|80.2|62.0|no|229B MoE, SWE-bench 80.2% at 1/20th Opus cost, Lightning 100 tok/s, open-weights
openrouter/bytedance-seed/seed-2.0-mini|131072|||0.10|0.40|36|1470|||no|Arena #10 (1470 Elo), ultra-cheap, Pro variant SWE-bench 76.5%
openrouter/deepseek/deepseek-r1-0528|128000||0.55|2.19|27||57.6|81.0|yes|Best open-source reasoning, MIT, 87.5% AIME, transparent chain-of-thought
gemini/gemini-2.5-flash|1000000|249|0.30|2.50|21||||no|Speed champion 249 tok/s, 1M context, multimodal, best for high-volume fast tasks
gemini/gemini-3-pro-preview|1000000|||1.25|10.00||1486||91.9|no|Predecessor to 3.1 Pro, Arena #5 (1486 Elo), strong multimodal
gemini/gemini-3-flash-preview|1000000|||||1473|||no|Arena #7 for a Flash model, good speed-intelligence balance
openai/gpt-5.2-pro|400000|89|21.00|168.00||1481|80.0|93.2|no|100% AIME 2025, highest GPQA (93.2%), 12x cost of standard GPT-5.2
openai/gpt-5.2|400000||1.75|14.00||1481|||no|Standard GPT-5.2, much cheaper than Pro, sensible OpenAI default
openrouter/anthropic/claude-opus-4.5|200000||5.00|25.00|||80.9|87.0|no|Previous Opus gen (Nov 2025), SWE-bench 80.9% (highest self-reported)
openrouter/deepseek/deepseek-v3.2|128000|45|0.28|0.42||1421|73.1||no|685B MoE, MIT, gold IMO 2025, $0.28/$0.42, better than R1 for pure coding
openrouter/z-ai/glm-4.7|200000||0.10|0.10||1445|||no|Arena 1445, $0.10/$0.10, 95.7% AIME, essentially free frontier-adjacent coding
openrouter/z-ai/glm-4.6|200000||||||||||Previous GLM gen, strong for basic tasks at extremely low cost
openrouter/z-ai/glm-4.5|200000||||||||||Older GLM, free Flash variant available
